key	name	niceName	category	paying	id
0	Baikal BK-G28	baikal-bk-g28	ASIC	0.000146	39d38018-ea4d-4bc0-bdcb-a816f03765c1
1	Baikal BK-N240	baikal-bk-n240	ASIC	0.000079	3e2d2432-7ff6-44b8-9305-59fee4c5731d
2	Baikal BK-N70	baikal-bk-n70	ASIC	0.000046	509bcfdd-6f52-4856-a317-ba6b983755ce
3	Baikal Giant+	baikal-giant	ASIC	0.000049	756cecc5-29d4-4df7-8cba-253b761b836d
4	Baikal Giant B	baikal-giant-b	ASIC	0.000025	0a370290-9973-412a-8802-e7233f0d4182
5	Baikal Giant N	baikal-giant-n	ASIC	0.000007	bd173c29-4e49-412f-827b-eeb64cdada31
6	Baikal Giant X10	baikal-giant-x10	ASIC	0.000052	d4d6d5dc-afaf-4210-91ea-4b650e0c1532
7	Baikal X11-X13-X14-X15-Qbit-Quark ASIC Mini Miner	baikal-x11-x13-x14-x15-qbit-quark-asic-mini-miner	ASIC	0.000005	dff907c3-4dde-4095-b66b-31c9d97fe8cb
8	BITFURY B8	bitfury-b8	ASIC	0.001331	e265720b-561b-4cee-9125-dbdf67b430bf
9	BITMAIN AntMiner D3	bitmain-antminer-d3	ASIC	0.000040	da10e379-868e-429f-bfb3-3ba4a52e8573
10	BITMAIN AntMiner D5	bitmain-antminer-d5	ASIC	0.000314	083c010b-e2bf-4be6-ab29-ca8a5d3cdf75
11	BITMAIN AntMiner L3 ++	bitmain-antminer-l3-	ASIC	0.000168	5e831dce-c0fc-4486-b6ab-c858ef7caaba
12	BITMAIN AntMiner L3+	bitmain-antminer-l3	ASIC	0.000142	fb3095b0-990d-4114-bd6b-844019959679
13	BITMAIN AntMiner S11	bitmain-antminer-s11	ASIC	0.000546	062a67d2-de41-4583-a740-26aec175d99e
14	BITMAIN AntMiner S15	bitmain-antminer-s15	ASIC	0.000745	4ce6ffca-0227-412d-ba77-016f0025781f
15	BITMAIN AntMiner S17 (53Th)	bitmain-antminer-s17-53th	ASIC	0.001310	76bcc477-125c-456a-82f4-4af43da72696
16	BITMAIN AntMiner S17 (56Th)	bitmain-antminer-s17-56th	ASIC	0.001384	2c64c927-7c32-4c74-9678-16961601ec25
17	BITMAIN AntMiner S17 Pro (50Th)	bitmain-antminer-s17-pro-50th	ASIC	0.001236	67e794c7-9c4d-4471-9a78-69c9344a006b
18	BITMAIN AntMiner S17 Pro (53Th)	bitmain-antminer-s17-pro-53th	ASIC	0.001310	fe29b483-1f16-43aa-b880-e1b6cd315f09
19	BITMAIN AntMiner S9	bitmain-antminer-s9	ASIC	0.000373	ea99cc89-b0dd-4866-8773-984180db6117
20	BITMAIN AntMiner T15	bitmain-antminer-t15	ASIC	0.000612	709ccc0f-5d88-41a9-b229-44b45314c898
21	BITMAIN AntMiner T9+	bitmain-antminer-t9	ASIC	0.000279	2787a6c1-2b5a-461a-bf99-a489cf311c57
22	BITMAIN AntMiner Z11	bitmain-antminer-z11	ASIC	0.001058	3f110c0e-8678-4724-ac2a-c9eb44865e4f
23	Canaan Creative Avalon 7	canaan-creative-avalon-7	ASIC	0.000194	9b168aa4-7f08-45e2-980d-18850464f4ce
24	Canaan Creative Avalon 921	canaan-creative-avalon-921	ASIC	0.000532	f74e924d-9b3c-4812-98f4-99fadf973cf2
25	DAYUN Zig Z1	dayun-zig-z1	ASIC	0.000632	d8c88bdf-8e4a-432f-a071-4435470e90d2
26	FusionSilicon X2	fusionsilicon-x2	ASIC	0.000120	011b41db-6e6a-4f1f-ae9c-10af291ed198
27	FusionSilicon X7	fusionsilicon-x7	ASIC	0.000691	48226a77-5711-442f-8cda-024301fdaeaf
28	iBeLink DM22G X11	ibelink-dm22g-x11	ASIC	0.000058	08107853-25fb-4ff1-b3bb-ba60eed0252a
29	Innosilicon A5	innosilicon-a5	ASIC	0.000171	f9ef11c2-ddf8-4671-b363-b68423ce4f3d
30	Innosilicon A5 DashMaster - normal mode	innosilicon-a5-dashmaster-normal-mode	ASIC	0.000080	cf32f713-2936-4439-acdf-1797575f54b8
31	Innosilicon A5 DashMaster - overclock mode	innosilicon-a5-dashmaster-overclock-mode	ASIC	0.000100	1904164c-3480-431a-906c-1e834e5c59dd
32	Innosilicon A6	innosilicon-a6	ASIC	0.000346	17da4afc-d341-48e4-9d19-65fee1ae844d
33	Innosilicon A9+	innosilicon-a9	ASIC	0.000940	282b6cf8-065d-42a5-acc6-4ed29477725d
34	Innosilicon A9 ZMaster	innosilicon-a9-zmaster	ASIC	0.000392	f3d003c8-7b7c-4332-9d94-268dc5146996
35	Innosilicon D9+	innosilicon-d9	ASIC	0.000002	f1d4abcb-2ff3-4268-8fb1-4c0d86b40375
36	Innosilicon T2	innosilicon-t2	ASIC	0.000452	669c1014-73a6-400c-b303-e5f4aa1fdbe3
37	Innosilicon T2-26T	innosilicon-t2-26t	ASIC	0.000692	83e20b03-bd96-4568-b8f0-a0cd13ac0654
38	Innosilicon T3-39T	innosilicon-t3-39t	ASIC	0.001038	bba0bde8-cfa5-42c9-9e4f-086c99487913
39	Innosilicon T3-43T	innosilicon-t3-43t	ASIC	0.001145	052014dd-af06-4d79-990d-7da1744c746e
40	MicroBT Whatsminer M10	microbt-whatsminer-m10	ASIC	0.000878	598f2ab1-96da-44af-86bc-8b5f24363856
41	MicroBT Whatsminer M10S	microbt-whatsminer-m10s	ASIC	0.001464	bd07070b-0c63-46dd-9bb0-4ca20b37a117
42	AMD CPU Ryzen 3 1300X	amd-cpu-ryzen-3-1300x	CPU	0.000002	a48de4eb-745a-4fcc-8b31-6d264c6e5c3c
43	AMD CPU Ryzen 5 1400	amd-cpu-ryzen-5-1400	CPU	0.000009	fbc91da4-da55-4723-ba31-65c3e8d708d2
44	AMD CPU Ryzen 5 1500X	amd-cpu-ryzen-5-1500x	CPU	0.000013	7505aebc-fd75-46b6-a5fa-e335fbbd024a
45	AMD CPU Ryzen 5 1600	amd-cpu-ryzen-5-1600	CPU	0.000013	7d703061-94cd-4d0a-9dfc-718b7b431a84
